date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:38	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%221e954-640c8dbc-4f7aef122340a2ab;;;%22	https://txon.in/assets/vendor/remixicon/remixicon.woff2?t=1590207869815	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/remixicon/remixicondf6d.woff2	(from https://txon.in/assets/vendor/remixicon/remixicon.css)
17:57:38	172876/172876	---M--	200	added ('OK')	application/font-woff	etag:%222a34c-640c8dbc-987a257388352365;;;%22	https://txon.in/assets/vendor/remixicon/remixicon.woff?t=1590207869815	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/remixicon/remixicondf6d.woff	(from https://txon.in/assets/vendor/remixicon/remixicon.css)
17:57:38	403056/403056	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2262670-640c8dbe-bfb7c38a386acfed;gz%22	https://txon.in/assets/vendor/remixicon/remixicon.ttf?t=1590207869815	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/remixicon/remixicondf6d.ttf	(from https://txon.in/assets/vendor/remixicon/remixicon.css)
17:57:39	1195522/1195522	---MCZ	200	added ('OK')	image/svg+xml	etag:%22123e02-640c8dbc-791cc877d090db78;gz%22	https://txon.in/assets/vendor/remixicon/remixicon.svg?t=1590207869815	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/vendor/remixicon/remixicondf6d.svg	(from https://txon.in/assets/vendor/remixicon/remixicon.css)
17:57:39	4789/4789	---M--	200	added ('OK')	image/png	etag:%2212b5-640c8ddb-62f9130f5847e072;;;%22	https://txon.in/assets/img/clients/wave.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/clients/wave.png	(from https://txon.in/assets/css/style.css)
17:57:39	88724/88724	---M--	200	added ('OK')	image/png	etag:%2215a94-640c8dd7-2158b82e294cd7de;;;%22	https://txon.in/assets/img/map.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/map.png	(from https://txon.in/assets/css/style.css)
17:57:39	6926/6926	---M-Z	200	added ('OK')	text/css	etag:%221b0e-640c8d55-e7d1cd6f995244f0;gz%22	https://txon.in/intern.css	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/intern.css	(from https://txon.in/intern.html)
17:57:40	71904/71904	---M--	200	added ('OK')	image/png	etag:%22118e0-640c8dd5-7c7c4d3fd18a3b62;;;%22	https://txon.in/assets/img/datae.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/datae.png	(from https://txon.in/intern.html)
17:57:40	193055/193055	---M--	200	added ('OK')	image/png	etag:%222f21f-640c8ddb-f3f6032e847edfad;;;%22	https://txon.in/assets/img/ui2.png	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/ui2.png	(from https://txon.in/intern.html)
17:57:40	81877/81877	---M--	200	added ('OK')	image/jpeg	etag:%2213fd5-640c8dd7-b595ec8df48f202a;;;%22	https://txon.in/assets/img/paytmss.jpeg	C:/My%20Web%20Sites/TXON%20CLONE/txon.in/assets/img/paytmss.jpg	(from https://txon.in/intern.html)
